검색어,공고 이름,회사 이름,회사 위치,경력,직무분야,게시일,마감일,링크,직군
IB,[에스티캐피탈㈜] IB 투자심사역 경력직 채용공고,"에스티캐피탈 주식회사[ST Capital Co.,Ltd]",서울영등포구,경력2년↑,"펀드매니저, 기업금융, 기업분석, 기업심사, 외환관리 외",2026-08-19,~ 08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54785942,IBD
IB,(인천 송도) 아이비셉트 IB국제학교 학원 행정 실장님 채용,(주)아이비셉트,인천연수구,경력무관,"학원생관리, 입시학원, 보습학원, 어학원, 영어학원 외",2026-07-21,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54520972,IBD
IB,[장애인특별채용] 고객지원/IB상담/중식제공,(주)더블유컴즈,서울구로구,경력무관,"전화상담, 렌탈샵",2026-07-27,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54569774,IBD
IB,코트칼리지(COTEcollege)에서 A-level·I/GCSE·IB 강사를 찾고 있어요,코트칼리지(COTEcollege),서울강남구,경력무관,"파트강사, 학원강사, 입시학원, 어학원, 유학원",2026-08-11,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54712573,IBD
IB,AP/IB/GPA Biology 온라인수업강사(재택근무),(주)메타인프렙입시컨설팅학원,서울서초구,경력1년↑,"과외, 파트강사, 학원강사, 생물, 어학원",2026-06-29,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54314192,IBD
IB,[강사충원] SAT/IB/GED/ Math/science 강사 모집-동탄LABS,(주)랩스컴퍼니,경기화성시,경력무관,"원어민강사, 어학원, 영어, 어학원, 영어학원",2026-06-28,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54302768,IBD
IB,AP/IB/GPA Physics 온라인수업강사(재택근무),(주)메타인프렙입시컨설팅학원,서울서초구,경력1년↑,"과외, 파트강사, 학원강사, 물리, 어학원",2026-08-01,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54624428,IBD
IB,AP/IB/SAT/GPA Math 온라인수업강사(재택),(주)메타인프렙입시컨설팅학원,서울서초구,경력1년↑,"과외, 파트강사, 학원강사, 입시학원, 수학 외",2026-08-01,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54624426,IBD
IB,독산동 [모바일IB/축하금60만] LG헬로비전 콜센터 정규상담 -M26,에스엠서치플러스(주),서울금천구,경력무관,"고객응대, 고객관리, 문서작성, 사무보조, 사이트관리 외",2026-08-18,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54573152,IBD
IB,SAT·AP·IB 국제학교 입시 인강 강사 모집 (온라인·재택),주식회사젠트릭스,인천연수구,경력무관,"학원강사, 교육콘텐츠개발, 입시컨설팅, 국제학교, SI·시스템통합 외",2026-07-27,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54303073,IBD
IB,압구정 플래티넘 SAT/AP/IB 전문 어학원 평일 오후 행정 TA 모집,플래티넘아카데미어학원,서울강남구,경력무관,"어학원, 영어, 어학원, 영어학원",2026-07-04,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54370470,IBD
IB,IB ENGLISH. TOEFL. SAT영어 강사,아이비솔루션어학원,부산해운대구,경력무관,"학원강사, 어학원, 어학원",2026-07-15,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54325911,IBD
IB,IB/AP English (Lit) 전문 티칭강사 구인,세이지프랩어학원,서울강남구,경력4년↑,"학원강사, 어학원, 영어학원",2026-08-03,~ 10/02(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54639303,IBD
IB,IB몬테소리교육연구소 영어 교수부장(교육연구원) 채용,아이비몬테소리교육연구소,경기과천시,경력,"교육기획, 교육컨설턴트, 교육운영, 교육콘텐츠개발, 교육콘텐츠기획 외",2026-08-07,~ 09/06(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54681918,IBD
IB,[인센티브/프로모션무제한] 롯데카드 IB상담 고객센터 AG3,(주)유베이스,부산연제구,경력무관,"고객관리, 상담원, 인바운드, CS, 단순안내 외",2026-08-21,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54610368,IBD
IB,[프로모션무제한/인센티브] 롯데카드 IB상담 고객센터 AG3,(주)유베이스,부산연제구,경력무관,"고객관리, 상담원, 인바운드, CS, 단순안내 외",2026-08-21,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54610382,IBD
IB,[대구 정규직] LG유플러스 CS고객센터(요금/CS/IB상담),(주)아인텔레서비스,대구동구,경력무관,"고객응대, 고객관리, 고객안내, 접수/예약, 상담원 외",2026-08-18,~ 09/17(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54770968,IBD
IB,경보제약 신입/경력 수시 채용,(주)경보제약,충남아산시,신입·경력,"AI(인공지능), AI(인공지능), 데이터엔지니어, 영업관리, 거래처관리 외",2026-08-20,~ 08/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54773519,IBD
IB,[Tesla Korea] 대규모 공개 채용,테슬라코리아(유),서울강남구,신입·경력,"고객관리, 영업관리, 자동차영업, 영업, 자동차정비 외",2026-08-21,~ 08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54769848,IBD
IB,우수인재 채용,(주)베르티스,경기과천시,신입·경력,"영업관리, 거래처관리, 고객관리, 사업개발, 마케팅전략 외",2026-08-24,~ 08/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54671125,IBD
IB,(주)에이스엔지니어링 각 부문 신입/경력 채용,(주)에이스엔지니어링,서울서초구,신입·경력,"데이터엔지니어, 영업관리, 사업개발, 품질관리, 생산관리 외",2026-08-21,~ 08/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54713116,IBD
IB,신탁솔루션팀 신입/경력직원 채용,유안타증권(주),서울영등포구,경력무관,"자금관리, 증권영업, 신탁, 증권사, 증권사",2026-08-24,~ 09/04(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54831932,IBD
IB,[복지끝판왕] LG유플러스 자회사 정규직 채용,(주)씨에스원파트너,부산전체,신입,"고객응대, 고객관리, 고객안내, 인터넷설치, 접수/예약 외",2026-08-25,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54823121,IBD
IB,휴온스그룹 2026년 9월 각 부문 신입 및 경력직 모집,(주)휴온스글로벌,경기성남시 수정구,경력무관,"품질관리, 제약영업, 제약/바이오, 건강보조식품, 의약·제약 외",2026-08-24,~ 08/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54742837,IBD
IB,클라우드 부문별 채용 (데이터센터 / 인프라 / 클라우드 / 보안),(주)엘리스,서울강남구,경력무관,"SE(시스템엔지니어), 기술지원, 보안컨설팅, 정보보안, SI개발 외",2026-08-19,~ 09/01(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54783002,IBD
IB,2026년 하반기 수술로봇부문 경력 채용,(주)미래컴퍼니,서울송파구,경력,"C++, C언어, 마케팅기획, 영업관리, 거래처관리 외",2026-08-18,~ 09/01(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54768358,IBD
IB,[쿠팡] Rocket Mobile 상담 지원 (계약직/재택병행/전환가능),쿠팡(주),서울송파구,경력무관,"사무보조, 사무행정, CS관리, 상담원, 인바운드 외",2026-08-20,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54740284,IBD
IB,달바글로벌[d'Alba Global] 재무회계팀 자금파트 채용(인턴),(주)달바글로벌,서울마포구,경력1년↑,"자금관리, 회계, 재무, 화장품, 뷰티",2026-07-28,~ 09/26(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54583939,IBD
IB,[대웅제약] 비임상연구팀 독성 평가 경력직,(주)대웅제약,서울강서구,경력3년↑,"제약/바이오, 의약품연구, 비임상평가, 약물동태평가, 의약·제약 외",2026-08-11,~ 09/02(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54710996,IBD
IB,[컬리 김포센터] 물류 현장직 사원 대규모 채용,(주)컬리,경기김포시,경력무관,"물류사무원, 판매",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54828974,IBD
IB,[컬리 김포] 물류센터 현장사원 채용(입사 축하금 지급),(주)컬리,경기김포시,경력무관,"물류사무원, 판매",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54828994,IBD
IB,[컬리 김포센터 입사축하금 200 지급] 물류 현장사원 채용,(주)컬리,경기김포시,경력무관,"물류사무원, 판매",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54829013,IBD
IB,[디스트릭트] IPO 및 전략재무 담당 채용,(주)디스트릭트코리아,서울강남구,경력 3~10년,"재무기획, 재무회계, IPO, 전략기획, 투자전략 외",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54824245,IBD
IB,제이티저축은행(주) 신입 및 경력직 채용,제이티저축은행(주),경기성남시 분당구,경력무관,"투자분석, 투자심사, 경영관리, 금융기관, 저축은행",2026-08-21,~ 08/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54736924,IBD
IB,[밀크터치] 글로벌 SNS 콘텐츠 마케팅 인턴 (채용연계형),(주)올리브인터내셔널,서울서초구,경력무관,"콘텐츠마케팅, 화장품, 뷰티",2026-06-29,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54310898,IBD
IB,[영업본부] 온라인 채널 MD,(주)올리브인터내셔널,서울서초구,경력 2~5년,"영업관리, 영업마케팅, 영업전략, 리테일MD, 브랜드MD 외",2026-08-05,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54657723,IBD
IB,[마케팅본부] 마미케어 콘텐츠 마케터,(주)올리브인터내셔널,서울서초구,경력 1~5년,"마케팅, 브랜드마케팅, 콘텐츠마케팅, 퍼포먼스마케팅, 화장품 외",2026-08-24,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54832161,IBD
IB,[외국계 해운회사] WAN HAI LINES 부산사무소 6개월 계약직 채용,만해항운한국(주),부산중구,경력,"세관, 해상운송, 무역사무원, 통관, 물류업 외",2026-08-19,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54582785,IBD
IB,[쿠팡CFS] 인천 4센터 Team Captain 현장관리자 정규직 채용,쿠팡풀필먼트서비스(유),인천검단구,경력무관,"물류관리, 재고관리, 창고관리, 3PL운영, 물류자동화 외",2026-07-09,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54415081,IBD
IB,[쿠팡 CFS] 인천11센터 물류 현장관리자 정규직 채용,쿠팡풀필먼트서비스(유),인천제물포구,경력무관,"물류관리, 재고관리, 창고관리, 3PL운영, 물류자동화 외",2026-08-20,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54595684,IBD
IB,[쿠팡 CFS] TW1 대만역직구센터 물류 현장관리자 정규직 채용,쿠팡풀필먼트서비스(유),인천서해구,경력무관,"물류관리, 창고관리, 검품/검수, 집하/분류, 출고/출하 외",2026-08-04,~ 10/03(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54644095,IBD
IB,[CFS] 쿠팡 양지5센터 현장관리자 정규직 모집(경기 용인시),쿠팡풀필먼트서비스(유),경기용인시 처인구,경력무관,"물류관리, 재고관리, 창고관리, 3PL운영, 물류자동화 외",2026-08-14,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54647314,IBD
IB,[CFS] 쿠팡 창원3센터 현장관리자 정규직 모집,쿠팡풀필먼트서비스(유),경남창원시 진해구,경력무관,"물류관리, 재고관리, 창고관리, 3PL운영, 물류자동화 외",2026-07-31,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54618096,IBD
IB,[CFS] 쿠팡 창원 4센터 현장관리자 Team Captain 정규직 채용,쿠팡풀필먼트서비스(유),경남창원시 진해구,경력무관,"물류관리, 창고관리, 검품/검수, 집하/분류, 출고/출하 외",2026-08-23,~ 10/09(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54695324,IBD
IB,[CFS] 쿠팡 인천 16센터 현장관리자 Team Captain 정규직 채용,쿠팡풀필먼트서비스(유),인천제물포구,경력무관,"물류관리, 창고관리, 검품/검수, 집하/분류, 출고/출하 외",2026-08-11,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54711283,IBD
IB,[쿠팡 CFS] 인천22센터 물류 현장관리자 정규직 채용,쿠팡풀필먼트서비스(유),인천서해구,경력무관,"물류관리, 재고관리, 창고관리, 3PL운영, 물류자동화 외",2026-08-20,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54797479,IBD
IB,[인사총무] 팀원과 조직의 성장을 이끌 인재를 모십니다,(주)선인,경기용인시 기흥구,경력무관,"경영지원, HRM, 인사행정, 조직문화, 식음료 외",2026-07-28,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54583416,IBD
IB,[회계] 정직/신뢰에 기반해 이해관계자와 투명하게 소통할 인재,(주)선인,경기용인시 기흥구,경력무관,"회계, 재무, 식음료, 식품가공, 제과제빵",2026-07-28,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54583203,IBD
IB,헥토 그룹 각 부문별 경력직 채용,(주)헥토,서울강남구,경력,"사업개발, 감사, 내부감사, 법인결산, 법인세신고 외",2026-07-24,~ 08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54520956,IBD
IB,"교육(파트강사, 학원강사, 보조강사) 모집합니다",아이비(IB)스콜라영어학원,대구동구,경력무관,"보조강사, 파트강사, 학원강사, 보습학원, 영어 외",2026-08-10,~ 09/09(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54696347,IBD
IB,IR•PR담당(과장/차장/부장급)[상장사],(주)피노,경기안양시,경력7년↑,"IR/공시, 자금관리, SNS마케팅, 기업홍보, 언론홍보 외",2026-08-23,~ 09/21(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54807818,IBD
IB,[kt alpha] 전략투자 및 경영전략 경력 채용,(주)케이티알파,서울양천구,경력5년↑,"경영기획, 전략기획, 타당성검토, 투자전략, M&A 외",2026-08-19,~ 09/13(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54788145,IBD
IB,[컬리] 안산클러스터 물류 운영 담당자,(주)컬리,경기안산시 단원구,신입·경력,"물류관리, 재고관리, 3PL운영, 검품/검수, 입고/입하 외",2026-08-14,~ 10/13(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54753706,IBD
IB,[컬리] 안산 물류센터 현장 운영 담당자 채용,(주)컬리,경기안산시 단원구,경력무관,"물류관리, 배송·택배, 운송·운수",2026-08-13,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54742108,IBD
IB,[컬리 김포센터] 물류센터 현장직 사원 모집,(주)컬리,경기김포시,경력무관,"물류사무원, 판매",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54829030,IBD
IB,[컬리 김포센터/입사축하금] 물류센터 현장직 사원 채용,(주)컬리,경기김포시,경력무관,"물류사무원, 판매",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54829019,IBD
IB,[iAccel] 투자관리팀 조합 운용 및 관리,인포뱅크(주),경기성남시 분당구,신입·경력,"경리, 경리사무원, 사무직, 문서작성, 사무보조 외",2026-07-29,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54577044,IBD
IB,Backend Engineer(3년 이상),인포뱅크(주),경기성남시 분당구,경력 3~8년,"AI(인공지능), SE(시스템엔지니어), 백엔드/서버개발, S/W, Spring 외",2026-08-11,~ 09/02(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54639380,IBD
IB,[업계 1위 스타트업] IR 매니저 채용,(주)오렌지스퀘어,서울구로구,경력 5~8년,"IR/공시, 인터넷금융",2026-08-24,~ 09/23(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54829908,IBD
IB,[정직원] LG U+ 공항 로밍센터 대면 상담사 채용,(주)씨에스리더,인천영종구,경력무관,"상담원, CS, 임대",2026-08-19,~ 08/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54784231,IBD
IB,[26년 마지막채용/최고복지] LG헬로 모바일 알뜰폰 정규직 채용,(주)에이치알엔,서울강서구,경력무관,"고객응대, 고객관리, 사무직, 서무, 총무 외",2026-08-25,~ 09/18(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54780631,IBD
IB,[운영부문] 경영기획실장,(주)니어스랩,서울송파구,경력 15~20년,"사업개발, 매출관리, 사업기획, 전략기획, PL(프로젝트리더) 외",2026-08-07,~ 09/05(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54679549,IBD
IB,인플루언서 마케팅 인턴 (독일/폴란드/튀르키예/북유럽),(주)올리브인터내셔널,서울서초구,경력무관,"인플루언서마케팅, 화장품, 뷰티",2026-08-20,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54683808,IBD
IB,[메디컬에스테틱] 경영기획실 기획팀 경력직 채용,(주)오래온라이프사이언스,서울송파구,경력5년↑,"경영기획, 사업기획, 경영분석, 경영혁신(PI), 신사업기획 외",2026-08-10,~ 09/09(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54703572,IBD
IB,메타펄스 광주금호직영원 교사 채용,(주)메타에듀,전남광주서구,경력 3~15년,"공부방교사, 과외, 교직원, 방문교사, 학원강사 외",2026-07-30,~ 09/28(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54605207,IBD
IB,비즈니스 영업전략 및 기획 Lead,(주)인터엑스,서울금천구,경력 7~15년,"경영기획, 사업기획, 전략기획, 사업관리, 신사업기획 외",2026-08-19,~ 09/18(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54787355,IBD
IB,금융컨설팅부문 Process & Controls 팀 컨설턴트 (금융AX /PI),한영회계법인,서울영등포구,경력2년↑,"컨설턴트, 금융컨설팅, 회계법인",2026-07-15,~ 08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54476737,IBD
IB,[이수앱지스] 개발팀 임상파트 실무 담당 경력직 채용,(주)이수앱지스,경기성남시 분당구,경력5년↑,"임상DM, 임상PM, 임상STAT, CRA(임상연구원), CRC(임상시험코디네이터) 외",2026-08-14,~ 08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54753787,IBD
IB,[마케팅본부] 성분에디터 인플루언서 마케터,(주)올리브인터내셔널,서울서초구,경력 2~7년,"인플루언서마케팅, 화장품, 뷰티",2026-06-29,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54310638,IBD
IB,[영업본부] 홈쇼핑 영업 MD,(주)올리브인터내셔널,서울서초구,경력 2~7년,"영업관리, 영업마케팅, 영업전략, 리테일MD, 브랜드MD 외",2026-06-29,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54310658,IBD
IB,글로벌 인플루언서 마케팅 인턴 (채용연계형),(주)올리브인터내셔널,서울서초구,경력무관,"인플루언서마케팅, 화장품, 뷰티",2026-06-29,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54310601,IBD
IB,[성분에디터] BX 인턴 (채용연계형),(주)올리브인터내셔널,서울서초구,경력무관,"브랜드마케팅, 화장품, 뷰티",2026-07-23,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54547170,IBD
IB,[마미케어] 글로벌 마케팅 인턴 (일본/중국) (채용연계형),(주)올리브인터내셔널,서울서초구,경력무관,"글로벌마케팅, 화장품, 뷰티",2026-08-10,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54703844,IBD
IB,[영업본부] 오프라인 채널 MD,(주)올리브인터내셔널,서울서초구,경력 1~5년,"영업관리, 영업마케팅, 영업전략, 리테일MD, 브랜드MD 외",2026-08-10,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54698323,IBD
IB,[마케팅본부] 성분에디터 콘텐츠 마케팅 인턴 (채용연계형),(주)올리브인터내셔널,서울서초구,경력무관,"마케팅, 브랜드마케팅, 콘텐츠마케팅, 채널관리, 화장품 외",2026-08-11,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54717360,IBD
IB,C-Staff (FP&A),(주)이삼오구,서울강남구,경력3년↑,"사업개발, 경영기획, 브랜드기획, 사업기획, 상품기획 외",2026-08-18,~ 09/16(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54769648,IBD
IB,[성분에디터] 제품기획자,(주)올리브인터내셔널,서울서초구,경력 1~7년,"마케팅기획, 상품기획, 화장품, 뷰티",2026-08-19,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54782432,IBD
IB,[북미/유럽본부] 글로벌 SCM 물류 팀장,(주)올리브인터내셔널,서울서초구,경력8년↑,"SCM, 화장품, 뷰티",2026-08-25,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54841804,IBD
IB,부산 중앙동 LG유플러스 야간기술상담원 채용,(주)블루에이치알,부산중구,경력무관,"고객관리, 사무직, 문서작성, 사무보조, 사무행정 외",2026-08-25,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54808037,IBD
IB,IR Manager,(주)업스테이지,경기용인시 수지구,경력,"IR/공시, IT컨설팅",2026-08-21,~ 09/19(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54811083,IBD
IB,[정규직] 한국중소벤처기업유통원 서류검토 및 문의응대 채용,(주)블루에이치알,서울양천구,경력무관,"고객응대, 고객관리, 영업지원, 고객관리, 사무직 외",2026-08-25,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54620778,IBD
IB,수협은행 기업인터넷뱅킹 재구축 java 중급초급개발자채용(송파),토모도모(주),서울송파구,경력1년↑,"백엔드/서버개발, 웹개발, 프론트엔드, SI·시스템통합, 시스템관리 외",2026-08-12,~ 09/02(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54634631,IBD
IB,글로벌입시 학원(SAT/AP) 상담실장 채용공고(주재원학부모우대),(주)폴아카데미,서울강남구,신입·경력,"학습상담, 어학원, 유학원, 영어, 교육상담 외",2026-08-09,~ 09/06(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54681272,IBD
IB,[오디컴퍼니]대표이사·총괄프로듀서 업무 비서,오디컴퍼니(주),서울강남구,경력3년↑,"수행비서, 문화기획, 사업기획, 전략기획, 공연기획 외",2026-08-18,~ 08/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54769392,IBD
IB,[POTTERY] 소재 담당자 (인턴),(주)포터리,서울성동구,경력무관,"생산관리, 의류·의상",2026-07-13,~ 09/11(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54451359,IBD
IB,[삼일회계법인] Deals Cross-border CF팀 경력직 채용,삼일회계법인,서울용산구,경력5년↑,"M&A, 재무, 경영관리, 회계법인",2026-08-18,~ 10/17(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54765030,IBD
IB,[케어닥] 투자전략실,(주)케어닥,서울강남구,경력 5~10년,"투자전략, 부동산투자, 투자검토, 투자분석, 투자심사 외",2026-08-13,~ 09/12(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54739915,IBD
IB,사모펀드(PE) 주니어 모집,(주)게임체인저인베스트먼트,서울영등포구,경력무관,"심사역, 자산운용, 투자심사, 펀드, 금융기관",2026-08-13,~ 10/12(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54739653,IBD
IB,[체험(주) 본사] 고객센터/게시판 상담 지원 파트타이머 채용,체험(주),서울관악구,경력무관,"마케팅, 문서작성, 사무보조, 자료입력, 콘텐츠관리 외",2026-08-21,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54773287,IBD
